date,Year_x,State,influenza,Haemophilus influenzae,flu,parainfluenza,H1N1,H7N9,H5N1,H3N2,grippe,gripe,adenovirus,rhinovirus,respiratory syncytial virus,metapneumovirus,Bordetella pertussis,Mycoplasma pneumoniae,pneumonia,bronchitis,H9N2,sinusitis,upper respiratory tract infection,Tamiflu,,,,
7/1/2018,2018,ACT,0,0,4,0,100,28,0,71,0,0,0,0,0,0,0,0,0,0,0,54,0,0,,,,
14/1/2018,2018,ACT,19,0,6,20,0,0,24,0,0,0,38,17,0,0,0,0,0,0,0,19,0,92,,,,
21/1/2018,2018,ACT,0,0,8,0,0,32,0,52,0,47,0,0,0,0,0,0,0,0,0,0,0,90,,,,
28/1/2018,2018,ACT,0,0,11,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4/2/2018,2018,ACT,0,0,3,0,0,41,0,100,0,0,0,0,0,21,0,0,0,0,0,0,0,0,,,,
11/2/2018,2018,ACT,11,0,8,0,0,54,0,0,0,0,33,0,0,0,0,0,0,18,0,20,0,0,,,,
18/2/2018,2018,ACT,31,0,9,0,0,0,0,0,0,0,0,0,15,27,0,0,70,35,0,0,0,0,,,,
25/2/2018,2018,ACT,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,42,,,,
4/3/2018,2018,ACT,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,35,0,0,,,,
11/3/2018,2018,ACT,0,0,5,23,0,0,0,87,0,0,0,0,15,0,0,0,0,49,0,32,0,0,,,,
18/3/2018,2018,ACT,0,0,9,17,0,0,0,0,0,0,0,0,0,29,0,0,25,0,0,19,0,31,,,,
25/3/2018,2018,ACT,0,0,21,0,0,0,0,0,0,29,0,0,16,0,0,0,0,0,0,0,0,0,,,,
1/4/2018,2018,ACT,16,0,14,0,0,0,17,26,0,0,0,0,0,0,0,0,0,22,0,0,0,0,,,,
8/4/2018,2018,ACT,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,0,48,0,0,,,,
15/4/2018,2018,ACT,19,0,27,19,0,0,0,0,0,0,0,32,44,0,0,0,0,34,0,0,0,26,,,,
22/4/2018,2018,ACT,35,0,23,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,24,,,,
29/4/2018,2018,ACT,0,0,24,0,0,0,0,0,0,0,0,0,17,0,0,0,47,19,0,52,0,0,,,,
6/5/2018,2018,ACT,0,0,22,0,21,0,0,25,0,0,0,0,16,21,0,0,45,0,0,0,0,0,,,,
13/5/2018,2018,ACT,12,0,31,24,0,0,0,0,0,0,0,0,0,0,0,0,84,14,0,0,0,0,,,,
20/5/2018,2018,ACT,11,0,29,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,,,,
27/5/2018,2018,ACT,24,0,19,0,0,0,0,70,0,0,0,49,0,0,0,0,37,0,0,30,0,30,,,,
3/6/2018,2018,ACT,16,0,11,0,0,0,0,0,0,27,0,0,0,0,0,0,25,0,0,20,0,0,,,,
10/6/2018,2018,ACT,0,0,10,37,0,0,0,0,0,0,0,0,36,0,0,0,54,0,0,40,0,0,,,,
17/6/2018,2018,ACT,23,0,10,0,0,0,0,0,0,33,26,0,0,0,0,0,0,0,0,0,0,0,,,,
24/6/2018,2018,ACT,28,0,10,0,0,0,0,27,0,35,0,0,0,0,0,0,53,0,0,27,0,0,,,,
1/7/2018,2018,ACT,35,0,14,0,0,0,0,0,0,0,73,100,0,0,0,0,30,0,0,27,0,0,,,,
8/7/2018,2018,ACT,38,0,0,0,0,30,0,0,0,0,0,0,94,0,0,0,28,0,0,0,0,0,,,,
15/7/2018,2018,ACT,0,0,8,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,,,,
22/7/2018,2018,ACT,16,0,9,100,0,0,0,29,0,0,18,0,0,0,0,0,36,0,0,0,0,0,,,,
29/7/2018,2018,ACT,0,0,8,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,,,,
5/8/2018,2018,ACT,12,0,12,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,34,0,0,,,,
12/8/2018,2018,ACT,12,0,10,0,17,58,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,,,
19/8/2018,2018,ACT,0,0,13,23,0,0,0,0,0,26,0,16,0,0,0,0,29,0,0,0,0,52,,,,
26/8/2018,2018,ACT,0,0,0,20,0,0,19,0,0,0,33,35,0,0,0,0,0,20,0,0,0,0,,,,
2/9/2018,2018,ACT,13,0,15,0,0,0,0,0,0,0,18,0,0,29,0,0,44,0,0,0,0,0,,,,
9/9/2018,2018,ACT,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,,,,
16/9/2018,2018,ACT,23,0,6,0,26,0,0,0,0,0,0,26,0,0,0,0,22,0,0,0,0,0,,,,
23/9/2018,2018,ACT,0,0,0,0,37,0,20,0,0,35,0,0,0,0,0,0,24,0,0,0,0,0,,,,
30/9/2018,2018,ACT,0,0,4,0,0,0,44,0,0,0,0,0,18,48,0,0,0,0,0,24,0,0,,,,
7/10/2018,2018,ACT,20,0,0,0,0,0,0,47,0,0,30,0,0,47,0,0,21,0,0,0,0,23,,,,
14/10/2018,2018,ACT,23,0,8,0,0,0,0,0,0,0,56,36,0,0,0,0,0,16,0,0,0,0,,,,
21/10/2018,2018,ACT,0,0,6,0,0,0,0,0,0,0,0,35,0,92,0,0,0,0,0,0,0,0,,,,
28/10/2018,2018,ACT,0,0,0,0,0,0,0,24,0,29,0,35,0,0,0,0,0,0,0,0,0,0,,,,
4/11/2018,2018,ACT,0,0,5,0,0,0,35,0,0,62,0,0,24,0,0,0,35,0,0,34,0,0,,,,
11/11/2018,2018,ACT,0,0,3,0,0,0,24,0,0,0,0,0,19,0,0,0,48,0,0,0,0,0,,,,
18/11/2018,2018,ACT,0,0,5,28,0,0,28,0,0,0,0,17,0,0,0,0,26,0,0,0,0,0,,,,
25/11/2018,2018,ACT,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2/12/2018,2018,ACT,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,71,0,0,0,0,40,,,,
9/12/2018,2018,ACT,0,0,5,0,0,0,17,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,,,,
16/12/2018,2018,ACT,23,0,7,0,44,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
23/12/2018,2018,ACT,22,0,0,0,52,0,0,0,0,0,68,47,0,0,0,0,0,24,0,0,0,0,,,,
30/12/2018,2018,ACT,0,0,0,0,0,43,0,0,0,61,0,0,0,56,0,0,0,0,0,30,0,0,,,,
6/1/2019,2019,ACT,0,0,6,0,0,33,39,0,0,0,0,0,0,0,0,0,33,16,0,20,0,0,,,,
13/1/2019,2019,ACT,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20/1/2019,2019,ACT,0,0,8,19,0,0,0,0,0,26,0,0,0,0,0,0,30,17,0,32,0,39,,,,
27/1/2019,2019,ACT,0,0,0,0,53,0,37,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,,,,
3/2/2019,2019,ACT,42,0,10,0,0,0,0,75,0,0,0,32,0,0,0,0,0,0,0,36,0,0,,,,
10/2/2019,2019,ACT,16,0,3,0,0,0,0,0,0,25,0,0,0,0,0,0,38,0,0,0,0,0,,,,
17/2/2019,2019,ACT,20,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,33,27,0,0,0,0,,,,
24/2/2019,2019,ACT,0,0,6,0,35,0,0,0,0,28,0,22,0,0,0,0,20,31,0,0,0,0,,,,
3/3/2019,2019,ACT,0,0,10,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
10/3/2019,2019,ACT,0,0,7,0,0,0,0,0,0,0,22,25,0,19,0,0,38,18,0,0,0,0,,,,
17/3/2019,2019,ACT,19,0,11,0,0,0,27,0,0,0,0,0,0,0,0,0,31,15,0,0,0,0,,,,
24/3/2019,2019,ACT,15,0,18,0,0,0,0,0,0,43,0,0,0,22,0,0,29,0,0,0,0,0,,,,
