date,Year_x,State,influenza,Haemophilus influenzae,flu,parainfluenza,H1N1,H7N9,H5N1,H3N2,grippe,gripe,adenovirus,rhinovirus,respiratory syncytial virus,metapneumovirus,Bordetella pertussis,Mycoplasma pneumoniae,pneumonia,bronchitis,H9N2,sinusitis,upper respiratory tract infection,Tamiflu,totalCount
2018-01-07,2018,NSW,8,58,6.0,0,0,0,0,0,56,20,0,0,0,0,0,0,17,48,0,69.0,0,13,182.0
2018-01-14,2018,NSW,3,0,6.0,30,0,0,0,0,32,43,0,0,0,0,39,0,17,27,0,29.0,0,35,297.0
2018-01-21,2018,NSW,5,0,6.0,21,0,0,0,0,0,23,58,21,0,0,0,0,17,15,0,30.0,22,0,320.0
2018-01-28,2018,NSW,6,0,7.0,0,0,0,0,0,0,10,17,0,0,0,0,20,21,34,0,40.0,0,0,304.0
2018-02-04,2018,NSW,5,23,5.0,68,7,15,24,28,0,17,0,0,21,0,0,0,15,31,0,15.0,0,11,302.0
2018-02-11,2018,NSW,3,56,6.0,0,8,0,0,0,0,71,21,12,0,0,0,0,18,28,0,34.0,100,23,315.0
2018-02-18,2018,NSW,5,0,8.0,0,0,0,0,0,23,20,0,14,0,0,0,0,20,26,0,53.0,0,26,307.0
2018-02-25,2018,NSW,6,41,8.0,43,0,0,0,0,0,20,0,0,0,0,0,0,20,24,0,45.0,0,10,258.0
2018-03-04,2018,NSW,7,63,10.0,0,11,0,0,0,0,0,0,0,64,0,0,0,20,39,0,34.0,0,0,251.0
2018-03-11,2018,NSW,8,0,12.0,0,7,0,0,0,0,24,19,0,33,0,0,0,17,31,0,38.0,0,7,214.0
2018-03-18,2018,NSW,9,0,12.0,0,0,0,0,0,0,17,41,7,0,0,0,0,17,62,0,38.0,0,8,219.0
2018-03-25,2018,NSW,8,0,13.0,21,0,0,0,0,0,46,25,20,0,0,0,0,24,36,0,50.0,26,0,173.0
2018-04-01,2018,NSW,11,0,14.0,0,0,15,28,24,0,31,0,9,0,0,0,0,16,21,0,40.0,0,9,168.0
2018-04-08,2018,NSW,8,0,16.0,0,0,14,0,0,0,19,0,8,0,0,0,19,18,27,0,21.0,0,0,128.0
2018-04-15,2018,NSW,8,0,21.0,32,9,0,0,0,0,29,24,0,0,0,0,0,27,36,0,29.0,0,27,124.0
2018-04-22,2018,NSW,14,0,33.0,0,24,21,15,0,0,32,0,0,0,0,0,0,20,26,0,0.0,23,0,107.0
2018-04-29,2018,NSW,17,0,27.0,0,9,0,0,54,0,18,0,0,0,0,0,0,25,27,0,28.0,0,0,75.0
2018-05-06,2018,NSW,9,100,25.0,38,0,10,0,0,0,32,0,0,66,0,0,0,24,49,0,24.0,65,21,86.0
2018-05-13,2018,NSW,10,0,22.0,0,0,0,0,0,30,22,15,22,0,0,0,0,24,38,0,42.0,0,23,81.0
2018-05-20,2018,NSW,10,85,22.0,0,0,0,0,0,0,18,19,0,25,45,32,97,28,50,0,40.0,0,10,112.0
2018-05-27,2018,NSW,10,0,18.0,0,0,0,16,0,100,32,20,0,0,61,42,0,28,45,0,35.0,20,0,111.0
2018-06-03,2018,NSW,14,0,17.0,18,0,0,0,0,52,0,22,16,49,0,0,0,28,46,0,36.0,77,13,87.0
2018-06-10,2018,NSW,7,35,13.0,23,7,0,32,0,0,33,16,11,0,0,0,0,23,44,0,27.0,0,0,93.0
2018-06-17,2018,NSW,6,26,11.0,0,0,0,0,0,0,0,0,13,0,0,35,0,28,45,0,27.0,0,0,110.0
2018-06-24,2018,NSW,8,39,11.0,0,0,9,0,0,0,16,46,9,0,62,0,0,28,64,0,43.0,25,0,160.0
2018-07-01,2018,NSW,10,0,10.0,0,12,0,0,19,32,39,19,12,0,0,28,0,25,41,0,46.0,0,0,229.0
2018-07-08,2018,NSW,15,45,16.0,0,10,0,0,0,0,18,20,11,0,0,24,42,22,49,0,46.0,27,34,307.0
2018-07-15,2018,NSW,6,52,12.0,0,0,0,0,0,0,22,0,0,0,0,0,0,27,46,0,53.0,24,10,308.0
2018-07-22,2018,NSW,9,0,12.0,37,9,13,0,0,0,44,42,29,0,0,0,0,26,61,0,63.0,40,15,287.0
2018-07-29,2018,NSW,9,0,12.0,28,0,0,0,30,0,28,0,12,0,26,0,0,26,48,0,42.0,0,0,430.0
2018-08-05,2018,NSW,7,24,10.0,0,0,8,0,0,17,24,41,0,0,0,29,0,27,51,0,62.0,35,0,527.0
2018-08-12,2018,NSW,13,26,11.0,0,0,11,0,100,0,44,67,0,0,0,0,29,27,56,0,32.0,24,13,613.0
2018-08-19,2018,NSW,9,0,9.0,0,0,0,0,29,13,29,0,0,0,0,39,43,28,28,0,48.0,0,0,790.0
2018-08-26,2018,NSW,8,0,9.0,19,0,0,0,19,0,57,16,0,0,0,36,0,29,31,0,52.0,0,19,990.0
2018-09-02,2018,NSW,12,66,8.0,26,12,100,0,0,24,0,27,24,0,0,0,0,27,45,0,78.0,0,16,1085.0
2018-09-09,2018,NSW,11,82,8.0,59,0,23,0,0,31,35,20,10,0,24,0,0,30,55,0,30.0,0,17,1297.0
2018-09-16,2018,NSW,13,39,8.0,0,0,0,0,0,0,0,0,13,0,46,0,68,30,49,0,42.0,0,24,1100.0
2018-09-23,2018,NSW,10,0,7.0,31,0,0,0,0,0,19,32,13,0,0,0,0,22,40,0,40.0,0,10,855.0
