date,Year_x,State,influenza,Haemophilus influenzae,parainfluenza,H1N1,H7N9,H5N1,H3N2,grippe,gripe,adenovirus,rhinovirus,respiratory syncytial virus,metapneumovirus,Bordetella pertussis,Mycoplasma pneumoniae,pneumonia,bronchitis,H9N2,upper respiratory tract infection,Tamiflu,totalCount
2018-01-07,2018,NT,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2018-01-14,2018,NT,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,4.0
2018-01-21,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,13.0
2018-01-28,2018,NT,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
2018-02-04,2018,NT,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,18,0,0,0,0,5.0
2018-02-11,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
2018-02-18,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,4.0
2018-02-25,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,32,5.0
2018-03-04,2018,NT,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,3.0
2018-03-11,2018,NT,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,7.0
2018-03-18,2018,NT,0,0,0,21,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,10.0
2018-03-25,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
2018-04-01,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2018-04-08,2018,NT,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
2018-04-15,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3.0
2018-04-22,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0.0
2018-04-29,2018,NT,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2.0
2018-05-06,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,21,3.0
2018-05-13,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1.0
2018-05-20,2018,NT,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,55,0,0,0,0,3.0
2018-05-27,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
2018-06-03,2018,NT,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,25,5.0
2018-06-10,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0
2018-06-17,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2018-06-24,2018,NT,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,21,0,0,23,0.0
2018-07-01,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-07-08,2018,NT,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0.0
2018-07-15,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0.0
2018-07-22,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-07-29,2018,NT,21,0,0,32,0,0,0,0,0,0,0,0,0,0,0,14,23,0,0,0,4.0
2018-08-05,2018,NT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,21,5.0
2018-08-12,2018,NT,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2018-08-19,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0.0
2018-08-26,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,5.0
2018-09-02,2018,NT,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7.0
2018-09-09,2018,NT,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
2018-09-16,2018,NT,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,89,0,0,0,5.0
2018-09-23,2018,NT,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,41,0,0,0,0,9.0
2018-09-30,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
2018-10-07,2018,NT,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,24,6.0
2018-10-14,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
2018-10-21,2018,NT,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,38,0,0,21,10.0
2018-10-28,2018,NT,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,9.0
2018-11-04,2018,NT,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10.0
2018-11-11,2018,NT,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
2018-11-18,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0
2018-11-25,2018,NT,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,92.0
2018-12-02,2018,NT,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,173.0
2018-12-09,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.0
2018-12-16,2018,NT,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,79,0,0,0,191.0
2018-12-23,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,71,0,0,0,160.0
2018-12-30,2018,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0
2019-01-06,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
2019-01-13,2019,NT,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,31.0
2019-01-20,2019,NT,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
2019-01-27,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,10.0
2019-02-03,2019,NT,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,18.0
2019-02-10,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,23,19.0
2019-02-17,2019,NT,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15.0
2019-02-24,2019,NT,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,18.0
2019-03-03,2019,NT,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,15.0
2019-03-10,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,8.0
2019-03-17,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
2019-03-24,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,32.0
2019-03-31,2019,NT,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32.0
2019-04-07,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,33.0
2019-04-14,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,51.0
2019-04-21,2019,NT,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,91.0
2019-04-28,2019,NT,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,92.0
2019-05-05,2019,NT,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,66.0
2019-05-12,2019,NT,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,57.0
2019-05-19,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,59.0
2019-05-26,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0
2019-06-02,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,36.0
2019-06-09,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,42.0
2019-06-16,2019,NT,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,34,38.0
2019-06-23,2019,NT,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,30.0
2019-06-30,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
2019-07-07,2019,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,22,40.0
2019-07-14,2019,NT,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,39.0
