date,Year_x,State,influenza,Haemophilus influenzae,flu,parainfluenza,H1N1,H7N9,H5N1,H3N2,grippe,gripe,adenovirus,rhinovirus,respiratory syncytial virus,metapneumovirus,Bordetella pertussis,Mycoplasma pneumoniae,pneumonia,bronchitis,H9N2,sinusitis,upper respiratory tract infection,Tamiflu,totalCount
2018-01-07,2018,QLD,8,0,7.0,0,0,0,27,23,0,39,0,0,66,0,0,0,20,15,0,28.0,27,30,199.0
2018-01-14,2018,QLD,5,0,6.0,0,0,0,0,0,0,0,23,12,43,34,0,0,16,22,0,56.0,0,38,249.0
2018-01-21,2018,QLD,8,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,20.0,0,0,252.0
2018-01-28,2018,QLD,8,0,7.0,0,0,0,0,0,0,36,32,6,0,0,69,0,13,27,0,0.0,0,0,242.0
2018-02-04,2018,QLD,8,0,6.0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,13,0,0.0,0,0,262.0
2018-02-11,2018,QLD,7,23,6.0,0,32,39,0,0,0,0,18,0,0,0,0,0,17,0,0,23.0,0,40,244.0
2018-02-18,2018,QLD,11,0,8.0,0,0,0,100,0,0,0,0,6,79,18,0,0,20,9,0,35.0,0,0,268.0
2018-02-25,2018,QLD,9,0,9.0,0,15,0,0,0,42,0,0,0,0,0,0,0,23,30,0,22.0,0,0,274.0
2018-03-04,2018,QLD,13,0,12.0,0,0,35,0,0,0,28,0,0,0,0,28,0,25,19,0,0.0,0,43,291.0
2018-03-11,2018,QLD,10,0,13.0,0,0,0,18,0,0,0,11,0,60,0,0,57,23,0,0,58.0,0,19,246.0
2018-03-18,2018,QLD,12,63,15.0,0,0,0,0,0,0,27,10,0,0,0,0,35,21,37,0,19.0,0,0,263.0
2018-03-25,2018,QLD,14,0,14.0,17,0,50,0,0,0,0,0,0,0,0,31,36,27,38,0,29.0,0,0,306.0
2018-04-01,2018,QLD,10,0,11.0,20,0,47,0,0,0,16,0,0,0,0,0,0,21,34,0,51.0,0,0,240.0
2018-04-08,2018,QLD,12,0,23.0,18,21,0,0,0,0,0,10,0,0,28,0,0,24,24,0,90.0,0,0,207.0
2018-04-15,2018,QLD,12,34,22.0,0,0,100,0,100,0,0,0,24,0,0,33,0,29,29,0,21.0,0,0,178.0
2018-04-22,2018,QLD,16,65,34.0,0,0,0,0,0,0,17,38,0,0,0,0,25,27,26,0,37.0,0,0,155.0
2018-04-29,2018,QLD,17,0,27.0,18,0,58,0,0,0,32,0,0,0,17,0,0,22,38,0,54.0,0,0,150.0
2018-05-06,2018,QLD,6,0,23.0,0,0,0,0,0,26,0,0,9,0,0,0,0,28,38,0,29.0,0,29,135.0
2018-05-13,2018,QLD,11,0,21.0,0,0,0,23,0,0,0,0,0,0,0,0,0,31,36,0,0.0,0,0,128.0
2018-05-20,2018,QLD,12,0,20.0,0,0,0,0,0,0,0,0,10,0,0,0,0,28,73,0,31.0,87,0,120.0
2018-05-27,2018,QLD,11,0,17.0,14,31,0,33,24,0,0,0,18,0,34,0,0,23,67,0,15.0,0,0,110.0
2018-06-03,2018,QLD,9,0,14.0,0,0,0,23,0,0,0,0,9,0,0,0,0,30,48,0,50.0,24,23,94.0
2018-06-10,2018,QLD,11,0,12.0,21,0,0,0,0,0,0,0,0,0,0,0,28,29,57,0,57.0,0,0,93.0
2018-06-17,2018,QLD,8,23,12.0,0,0,36,0,0,0,20,27,13,30,0,0,0,26,67,0,48.0,0,0,110.0
2018-06-24,2018,QLD,8,0,9.0,0,0,0,0,0,0,0,0,6,0,0,0,0,32,41,0,39.0,25,33,158.0
2018-07-01,2018,QLD,7,0,6.0,0,0,0,0,22,0,0,10,21,0,0,0,0,25,74,0,38.0,0,0,194.0
2018-07-08,2018,QLD,9,100,9.0,26,0,0,0,0,29,42,0,6,0,19,50,0,30,46,0,37.0,0,0,203.0
2018-07-15,2018,QLD,5,0,8.0,18,0,0,45,0,0,0,22,18,0,0,33,0,30,69,0,56.0,39,0,191.0
2018-07-22,2018,QLD,8,0,11.0,0,0,0,0,0,0,0,0,16,0,0,0,0,32,48,0,37.0,0,0,204.0
2018-07-29,2018,QLD,19,0,12.0,0,0,0,0,35,65,0,0,6,0,0,0,0,30,47,0,46.0,0,33,266.0
2018-08-05,2018,QLD,21,0,11.0,48,0,0,0,0,0,0,18,0,0,0,0,39,35,57,0,27.0,0,30,341.0
2018-08-12,2018,QLD,11,0,10.0,0,0,21,0,65,0,0,46,0,0,23,0,0,26,52,0,42.0,0,31,339.0
2018-08-19,2018,QLD,9,32,12.0,0,0,0,0,0,0,0,13,10,57,0,0,0,24,45,0,13.0,0,29,428.0
2018-08-26,2018,QLD,17,20,11.0,36,0,0,0,15,0,0,0,7,0,0,0,0,35,41,0,17.0,39,17,542.0
2018-09-02,2018,QLD,13,0,9.0,0,0,0,0,0,0,15,20,0,0,42,0,0,37,35,0,86.0,0,16,609.0
2018-09-09,2018,QLD,20,0,6.0,24,0,80,0,0,0,0,21,9,0,16,0,0,38,57,0,35.0,0,0,687.0
2018-09-16,2018,QLD,12,0,7.0,0,0,0,0,19,0,0,0,18,88,32,0,0,23,50,0,56.0,0,35,670.0
2018-09-23,2018,QLD,14,0,7.0,0,0,0,18,0,0,30,30,12,25,20,0,59,24,36,0,36.0,0,0,577.0
2018-09-30,2018,QLD,7,22,5.0,20,0,24,0,0,62,0,14,0,0,0,0,0,27,62,0,21.0,98,16,451.0
2018-10-07,2018,QLD,16,0,7.0,14,0,0,0,0,0,19,0,6,0,0,34,41,32,28,0,28.0,0,32,372.0
2018-10-14,2018,QLD,10,0,6.0,28,0,0,0,0,0,21,18,14,0,17,0,37,31,31,0,20.0,55,38,406.0
2018-10-21,2018,QLD,15,0,7.0,0,0,0,0,0,28,0,65,0,0,0,0,0,13,38,0,50.0,46,0,348.0
2018-10-28,2018,QLD,11,0,5.0,28,0,0,0,0,0,0,0,9,0,21,0,0,26,32,0,92.0,0,38,330.0
2018-11-04,2018,QLD,8,45,6.0,0,0,0,0,0,0,59,0,7,0,13,32,29,30,28,0,39.0,0,0,304.0
2018-11-11,2018,QLD,9,0,5.0,0,0,0,0,0,0,42,0,7,0,0,0,0,26,30,0,77.0,0,0,293.0
2018-11-18,2018,QLD,7,0,5.0,0,10,33,0,0,0,0,27,13,0,0,0,33,18,43,0,25.0,0,0,274.0
2018-11-25,2018,QLD,9,0,6.0,0,0,20,0,0,0,51,12,16,0,0,0,54,25,48,0,34.0,0,0,289.0
2018-12-02,2018,QLD,18,0,6.0,0,0,0,0,34,0,0,17,0,0,0,64,0,17,39,0,25.0,0,0,418.0
2018-12-09,2018,QLD,13,0,6.0,0,19,0,16,0,0,0,0,0,0,0,0,0,22,31,0,36.0,0,0,435.0
2018-12-16,2018,QLD,6,0,5.0,0,11,0,0,0,0,30,0,0,73,0,0,0,20,26,0,44.0,0,15,516.0
2018-12-23,2018,QLD,9,0,8.0,0,0,0,0,0,0,0,0,0,0,39,0,32,31,20,0,43.0,0,23,497.0
