date,Year_x,State,influenza,Haemophilus influenzae,flu,parainfluenza,H1N1,H7N9,H5N1,H3N2,grippe,gripe,adenovirus,rhinovirus,respiratory syncytial virus,metapneumovirus,Bordetella pertussis,Mycoplasma pneumoniae,pneumonia,bronchitis,H9N2,sinusitis,upper respiratory tract infection,Tamiflu,totalCount
2018-01-07,2018,SA,9,0,5.0,40,58,0,12,0,0,0,0,0,0,0,0,0,0,14,0,0.0,0,0,85.0
2018-01-14,2018,SA,0,0,4.0,0,0,30,14,0,51,19,0,0,0,37,0,0,11,0,0,0.0,0,55,74.0
2018-01-21,2018,SA,0,0,4.0,0,0,31,0,0,0,21,33,0,0,0,0,0,0,27,0,0.0,0,27,102.0
2018-01-28,2018,SA,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,35,0,0.0,0,0,72.0
2018-02-04,2018,SA,0,0,4.0,0,0,0,0,0,0,0,0,0,0,46,0,42,33,0,0,30.0,0,29,83.0
2018-02-11,2018,SA,15,0,4.0,32,0,26,43,0,0,0,0,0,46,0,0,0,20,0,0,85.0,12,0,81.0
2018-02-18,2018,SA,11,0,8.0,0,0,0,0,0,91,0,0,0,0,0,0,29,22,26,0,0.0,0,45,89.0
2018-02-25,2018,SA,14,67,7.0,0,0,0,0,0,58,0,0,0,0,0,0,71,20,15,0,27.0,0,0,96.0
2018-03-04,2018,SA,14,0,8.0,47,0,0,0,0,0,23,0,17,0,0,0,0,41,0,0,27.0,0,0,81.0
2018-03-11,2018,SA,10,22,10.0,0,0,0,28,0,60,0,81,0,0,0,0,0,28,0,0,0.0,0,0,90.0
2018-03-18,2018,SA,0,0,12.0,0,0,44,0,0,0,0,0,0,0,0,0,100,18,15,0,29.0,0,0,77.0
2018-03-25,2018,SA,13,0,12.0,0,0,0,0,0,0,0,36,0,0,0,0,60,7,17,0,0.0,0,0,71.0
2018-04-01,2018,SA,6,17,12.0,0,0,31,0,0,0,0,20,0,61,0,0,0,0,31,0,0.0,0,0,63.0
2018-04-08,2018,SA,0,28,18.0,28,0,0,26,0,0,25,27,21,0,0,0,26,29,0,0,0.0,0,0,58.0
2018-04-15,2018,SA,21,0,16.0,0,0,43,0,0,0,0,31,0,0,50,0,0,17,0,0,31.0,0,0,52.0
2018-04-22,2018,SA,16,0,26.0,41,0,0,0,0,0,0,0,0,0,28,0,0,20,0,0,0.0,0,0,32.0
2018-04-29,2018,SA,5,25,25.0,0,21,0,0,0,0,0,0,0,0,0,0,0,42,15,0,28.0,0,0,39.0
2018-05-06,2018,SA,18,0,19.0,0,0,100,0,0,0,24,0,0,0,0,0,0,7,26,0,52.0,0,0,26.0
2018-05-13,2018,SA,15,16,22.0,0,0,0,0,0,0,0,45,0,0,0,0,28,16,80,0,0.0,0,0,23.0
2018-05-20,2018,SA,8,0,25.0,0,26,0,0,100,70,41,0,61,0,0,0,0,43,0,0,26.0,14,0,27.0
2018-05-27,2018,SA,8,0,19.0,0,0,42,0,34,0,32,0,17,0,0,0,24,45,72,0,0.0,0,0,28.0
2018-06-03,2018,SA,23,16,10.0,0,0,0,18,0,0,0,0,0,0,0,0,0,26,45,0,0.0,0,0,29.0
