date,Year_x,State,influenza,Haemophilus influenzae,flu,parainfluenza,H1N1,H7N9,H5N1,H3N2,grippe,gripe,adenovirus,rhinovirus,respiratory syncytial virus,metapneumovirus,Bordetella pertussis,Mycoplasma pneumoniae,pneumonia,bronchitis,H9N2,sinusitis,upper respiratory tract infection,Tamiflu,totalCount
2018-01-07,2018,VIC,8,0,6.0,0,0,0,30,19,0,64,59,0,0,0,0,0,18,0,0,37.0,0,0,134.0
2018-01-14,2018,VIC,7,0,5.0,0,0,0,0,0,0,0,0,8,0,25,0,0,15,30,0,33.0,0,0,114.0
2018-01-21,2018,VIC,8,0,4.0,0,9,0,0,0,0,35,0,12,0,0,0,0,15,23,0,12.0,22,0,180.0
2018-01-28,2018,VIC,8,0,5.0,0,0,29,0,0,66,13,21,0,0,0,0,0,20,29,34,41.0,17,0,146.0
2018-02-04,2018,VIC,13,56,4.0,0,0,38,0,0,0,0,18,0,56,0,0,43,13,20,0,34.0,0,14,130.0
2018-02-11,2018,VIC,7,0,6.0,0,16,0,0,0,0,20,0,0,0,0,0,41,16,12,0,31.0,0,20,128.0
2018-02-18,2018,VIC,12,21,7.0,0,14,0,0,0,0,0,0,0,0,0,0,0,12,34,0,26.0,0,0,136.0
2018-02-25,2018,VIC,11,25,6.0,0,0,0,0,35,0,23,0,0,67,0,50,0,17,32,72,31.0,0,18,142.0
2018-03-04,2018,VIC,12,35,9.0,0,0,0,0,0,0,0,0,61,0,0,0,0,20,16,0,44.0,0,14,125.0
2018-03-11,2018,VIC,15,0,10.0,50,0,0,0,77,32,0,0,16,0,0,0,0,19,27,0,57.0,22,0,123.0
2018-03-18,2018,VIC,10,0,11.0,23,0,23,0,0,24,0,19,0,0,68,0,0,22,27,60,34.0,78,0,99.0
2018-03-25,2018,VIC,9,0,11.0,0,0,0,0,0,33,28,0,17,0,0,44,0,16,29,0,26.0,0,0,90.0
2018-04-01,2018,VIC,17,0,12.0,0,14,0,11,0,0,26,27,0,0,0,0,45,11,24,0,37.0,43,37,76.0
2018-04-08,2018,VIC,12,0,17.0,0,0,0,0,0,37,43,0,0,0,0,0,0,20,28,0,48.0,0,13,93.0
2018-04-15,2018,VIC,19,40,20.0,0,0,0,25,54,0,0,43,0,0,0,0,0,23,32,0,34.0,0,0,104.0
2018-04-22,2018,VIC,21,0,34.0,0,10,0,0,0,93,23,0,0,0,0,0,0,18,25,0,33.0,0,0,81.0
