date,Year_x,State,influenza,Haemophilus influenzae,flu,parainfluenza,H1N1,H7N9,H5N1,H3N2,grippe,gripe,adenovirus,rhinovirus,respiratory syncytial virus,metapneumovirus,Bordetella pertussis,Mycoplasma pneumoniae,pneumonia,bronchitis,H9N2,sinusitis,upper respiratory tract infection,Tamiflu,totalCount
2018-01-07,2018,WA,6,0,8.0,38,0,0,0,0,36,34,0,0,0,0,0,0,17,46,0,54.0,0,0,53.0
2018-01-14,2018,WA,0,41,7.0,0,0,0,0,0,0,33,0,0,0,13,0,0,11,16,0,29.0,0,0,52.0
2018-01-21,2018,WA,0,0,6.0,45,0,0,0,0,0,0,20,0,0,0,0,62,16,0,0,0.0,0,0,67.0
2018-01-28,2018,WA,0,0,5.0,50,24,0,0,40,0,0,0,0,0,0,0,0,20,13,0,0.0,40,26,66.0
2018-02-04,2018,WA,6,0,4.0,0,0,0,0,0,31,0,0,0,0,0,0,0,28,18,0,0.0,25,0,97.0
2018-02-11,2018,WA,9,0,9.0,0,0,0,39,0,0,44,0,13,0,0,0,0,26,31,0,0.0,0,0,77.0
2018-02-18,2018,WA,7,0,9.0,0,23,0,0,19,0,0,0,0,0,0,0,0,12,43,0,57.0,100,0,75.0
2018-02-25,2018,WA,11,63,9.0,45,0,0,0,37,0,0,36,0,0,0,0,56,22,45,0,0.0,0,0,85.0
2018-03-04,2018,WA,6,0,7.0,0,0,0,0,0,27,0,0,0,0,13,0,50,23,47,0,45.0,0,0,70.0
2018-03-11,2018,WA,6,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,26,0,0.0,0,0,60.0
2018-03-18,2018,WA,7,47,9.0,0,0,25,0,0,0,0,0,0,0,0,0,0,12,42,0,0.0,0,0,61.0
2018-03-25,2018,WA,15,0,9.0,0,0,21,0,0,0,0,0,0,31,0,0,42,8,28,0,40.0,0,35,57.0
2018-04-01,2018,WA,14,41,10.0,0,0,0,0,30,0,65,0,0,0,18,0,38,23,18,0,51.0,0,0,40.0
2018-04-08,2018,WA,14,34,13.0,64,0,0,0,0,0,29,0,28,64,0,0,0,22,47,0,0.0,0,0,49.0
2018-04-15,2018,WA,4,0,18.0,35,0,0,0,29,0,0,22,14,0,0,0,0,18,14,0,43.0,45,0,36.0
2018-04-22,2018,WA,9,0,27.0,33,0,0,0,0,0,0,26,13,52,0,0,0,15,33,0,44.0,0,0,38.0
2018-04-29,2018,WA,10,0,20.0,0,20,0,35,20,0,0,0,0,0,18,0,0,28,0,0,96.0,51,0,27.0
2018-05-06,2018,WA,24,38,19.0,0,0,0,0,37,26,38,0,0,36,0,0,0,23,0,0,72.0,0,0,39.0
2018-05-13,2018,WA,7,0,19.0,40,0,0,34,0,19,0,22,0,0,0,0,0,31,57,0,38.0,0,0,56.0
2018-05-20,2018,WA,16,0,26.0,0,0,0,0,0,0,68,0,38,0,0,0,0,32,39,0,67.0,0,0,36.0
2018-05-27,2018,WA,6,88,17.0,0,0,0,0,0,0,0,0,0,100,0,0,0,23,45,0,44.0,0,0,65.0
2018-06-03,2018,WA,0,0,16.0,0,0,0,0,0,23,31,0,0,0,0,0,0,29,62,0,46.0,0,20,59.0
2018-06-10,2018,WA,14,0,15.0,40,0,0,24,25,0,0,0,0,0,0,0,0,11,27,0,31.0,0,0,79.0
2018-06-17,2018,WA,0,0,13.0,0,0,0,0,0,24,0,26,0,0,0,0,37,22,30,0,46.0,24,0,92.0
2018-06-24,2018,WA,0,0,12.0,0,0,50,0,0,0,21,0,0,0,0,0,0,23,59,0,79.0,0,0,121.0
2018-07-01,2018,WA,21,0,9.0,0,0,24,0,61,37,0,26,0,0,0,0,0,7,23,0,64.0,0,0,150.0
2018-07-08,2018,WA,11,0,14.0,0,0,0,0,0,0,55,30,0,0,0,0,0,26,45,0,38.0,0,45,196.0
2018-07-15,2018,WA,13,0,12.0,45,0,31,0,0,0,0,0,0,0,0,0,41,27,59,0,33.0,0,0,202.0
2018-07-22,2018,WA,8,0,13.0,0,0,0,96,0,19,0,0,0,0,0,0,0,18,33,0,48.0,0,0,150.0
2018-07-29,2018,WA,13,0,9.0,0,0,0,0,0,0,0,26,0,24,0,0,0,28,27,0,100.0,36,0,122.0
2018-08-05,2018,WA,9,0,12.0,0,0,0,0,0,0,41,25,0,0,0,0,0,25,61,0,0.0,0,0,126.0
2018-08-12,2018,WA,13,0,10.0,0,0,0,0,0,0,54,0,0,0,0,0,0,24,0,0,0.0,0,0,167.0
